Person ID,Date ID,Visit Duration
7645,1,Duration 10h-18h
26771,1,Duration 8h
38302,1,Duration 3h
28106,1,Duration 10h-18h
72234,1,Duration 10h-18h
59078,1,Duration 3h
81513,1,Duration 7h
39155,1,Duration 10h-18h
71476,1,Duration 3h
39163,1,Duration 10h-18h
43864,1,Duration 3h
57481,1,Duration 7h
3494,1,Duration 3h
59077,1,Duration 3h
17625,1,Duration 3h
39210,1,Duration 4h
71542,1,Duration 10h-18h
15836,1,Duration 3h
67686,1,Duration 4h
67415,1,Duration 7h
24305,1,Duration 2h
45464,1,Duration 7h
56502,1,Duration 3h
3687,1,Duration 10h
26782,1,Duration 3h
43797,1,Duration 3h
26384,1,Duration 7h
43882,1,Duration 7h
43798,1,Duration 7h
69004,1,Duration 2h
7655,1,Duration 2h
71461,1,Duration 8h
8481,1,Duration 10h-18h
59478,1,Duration 3h
40408,1,Duration 3h
43886,1,Duration 2h
44255,1,Duration 2h
43787,1,Duration 3h
40398,1,Duration 3h
51466,1,Duration 3h
40469,1,Duration 2h
69263,1,Duration 2h
15851,1,Duration 3h
26739,1,Duration 3h
39202,1,Duration 3h
77075,1,Duration 3h
80187,1,Duration 5h
25693,1,Duration 3h
19982,1,Duration 3h
25627,1,Duration 3h
19173,1,Duration 3h
72256,1,Duration 3h
19175,1,Duration 5h
54541,1,Duration 3h
43831,1,Duration 6h
14,1,Duration 3h
17,1,Duration 3h
18430,1,Duration 10h-18h
10809,1,Duration 10h
43321,1,Duration 3h
82186,1,Duration 7h
8845,1,Duration 3h
15430,1,Duration 8h
67870,1,Duration 5h
40391,1,Duration 3h
19959,1,Duration 3h
27619,1,Duration 2h
75340,1,Duration 10h-18h
6628,1,Duration 2h
54542,1,Duration 3h
57492,1,Duration 10h-18h
38300,1,Duration 3h
40461,1,Duration 3h
15839,1,Duration 3h
43799,1,Duration 3h
70633,1,Duration 3h
30560,1,Duration 7h
75327,1,Duration 10h-18h
69375,1,Duration 3h
70641,1,Duration 3h
40417,1,Duration 3h
22409,1,Duration 3h
39196,1,Duration 6h
71553,1,Duration 10h-18h
69165,1,Duration 6h
78943,1,Duration 2h
80183,1,Duration 8h
51465,1,Duration 4h
3,1,Duration 7h
19180,1,Duration 10h-18h
42164,1,Duration 3h
60522,1,Duration 10h-18h
45488,1,Duration 3h
5812,1,Duration 3h
34688,1,Duration 3h
40475,1,Duration 3h
71554,1,Duration 3h
40482,1,Duration 5h
45452,1,Duration 3h
15440,1,Duration 3h
39164,1,Duration 3h
75326,1,Duration 10h-18h
61219,1,Duration 3h
26385,1,Duration 7h
68846,1,Duration 3h
45490,1,Duration 10h-18h
45450,1,Duration 3h
9174,1,Duration 10h-18h
69446,1,Duration 2h
73414,1,Duration 10h
75329,1,Duration 3h
67519,1,Duration 3h
15855,1,Duration 3h
40436,1,Duration 4h
23,1,Duration 10h-18h
23641,1,Duration 10h
48689,1,Duration 10h-18h
40435,1,Duration 8h
23504,1,Duration 10h
13173,1,Duration 3h
15460,1,Duration 2h
80189,1,Duration 3h
80191,1,Duration 3h
8465,1,Duration 10h-18h
56499,1,Duration 7h
8468,1,Duration 3h
43789,1,Duration 7h
72255,1,Duration 7h
19962,1,Duration 10h-18h
26746,1,Duration 3h
57488,1,Duration 3h
75335,1,Duration 3h
59085,1,Duration 3h
40437,1,Duration 3h
43793,1,Duration 3h
17242,1,Duration 6h
13172,1,Duration 2h
56511,1,Duration 3h
8743,1,Duration 7h
43862,1,Duration 7h
67866,1,Duration 10h-18h
56146,1,Duration 3h
71466,1,Duration 10h-18h
71512,1,Duration 3h
40504,1,Duration 10h-18h
71497,1,Duration 5h
22395,1,Duration 3h
43802,1,Duration 10h-18h
13171,1,Duration 4h
61292,1,Duration 3h
59075,1,Duration 3h
39213,1,Duration 3h
6629,1,Duration 10h
70648,1,Duration 7h
71489,1,Duration 8h
69059,1,Duration 8h
40426,1,Duration 7h
56500,1,Duration 7h
43855,1,Duration 2h
68693,1,Duration 3h
54540,1,Duration 3h
57483,1,Duration 3h
40448,1,Duration 8h
38464,1,Duration 3h
24821,1,Duration 4h
19312,1,Duration 3h
45482,1,Duration 4h
71485,1,Duration 3h
71483,1,Duration 3h
45493,1,Duration 3h
27609,1,Duration 3h
78940,1,Duration 10h-18h
67734,1,Duration 3h
24385,1,Duration 3h
55748,1,Duration 3h
24304,1,Duration 3h
82191,1,Duration 10h-18h
21683,1,Duration 8h
59459,1,Duration 3h
71500,1,Duration 5h
75321,1,Duration 10h-18h
53469,1,Duration 8h
60529,1,Duration 3h
18434,1,Duration 8h
73175,1,Duration 3h
24301,1,Duration 3h
75338,1,Duration 3h
43775,1,Duration 8h
49535,1,Duration 3h
76822,1,Duration 10h-18h
75317,1,Duration 7h
6639,1,Duration 5h
57477,1,Duration 6h
15833,1,Duration 3h
40478,1,Duration 3h
54530,1,Duration 7h
57479,1,Duration 7h
8592,1,Duration 3h
37160,1,Duration 3h
26754,1,Duration 3h
15849,1,Duration 7h
75325,1,Duration 2h
71469,1,Duration 3h
7643,1,Duration 6h
15433,1,Duration 3h
64379,1,Duration 2h
6625,1,Duration 2h
24822,1,Duration 10h-18h
8633,1,Duration 8h
31405,1,Duration 8h
72244,1,Duration 7h
31876,1,Duration 8h
80190,1,Duration 7h
56513,1,Duration 3h
67859,1,Duration 3h
34695,1,Duration 3h
59443,1,Duration 3h
40734,1,Duration 3h
43892,1,Duration 10h
62871,1,Duration 3h
19,1,Duration 7h
78440,1,Duration 8h
71503,1,Duration 3h
26747,1,Duration 3h
71473,1,Duration 10h-18h
39209,1,Duration 10h-18h
59481,1,Duration 2h
55743,1,Duration 3h
57476,1,Duration 10h-18h
19979,1,Duration 10h-18h
74089,1,Duration 2h
43823,1,Duration 4h
5672,1,Duration 10h-18h
19977,1,Duration 6h
43859,1,Duration 3h
8483,1,Duration 2h
58169,1,Duration 3h
27620,1,Duration 3h
40473,1,Duration 10h-18h
28104,1,Duration 3h
39193,1,Duration 10h-18h
18427,1,Duration 3h
43814,1,Duration 3h
18438,1,Duration 8h
80186,1,Duration 3h
15463,1,Duration 10h
3856,1,Duration 3h
40394,1,Duration 2h
78453,1,Duration 10h-18h
40430,1,Duration 7h
84182,1,Duration 2h
43875,1,Duration 3h
43884,1,Duration 2h
40399,1,Duration 10h-18h
41294,1,Duration 3h
24053,1,Duration 3h
19969,1,Duration 10h-18h
65743,1,Duration 2h
24307,1,Duration 10h-18h
27603,1,Duration 4h
40480,1,Duration 2h
72230,1,Duration 3h
71487,1,Duration 3h
9953,1,Duration 10h
16521,1,Duration 7h
69645,1,Duration 4h
32829,1,Duration 10h-18h
40758,1,Duration 2h
40482,2,Duration 5h
45452,2,Duration 3h
15440,2,Duration 6h
39164,2,Duration 2h
75326,2,Duration 5h
61219,2,Duration 8h
26385,2,Duration 4h
68846,2,Duration 5h
45490,2,Duration 10h-18h
45450,2,Duration 4h
9174,2,Duration 4h
69446,2,Duration 5h
73414,2,Duration 3h
75329,2,Duration 2h
67519,2,Duration 10h-18h
15855,2,Duration 3h
40436,2,Duration 5h
23,2,Duration 3h
23641,2,Duration 5h
48689,2,Duration 3h
40435,2,Duration 5h
23504,2,Duration 3h
13173,2,Duration 2h
15460,2,Duration 3h
80189,2,Duration 8h
80191,2,Duration 10h-18h
8465,2,Duration 5h
56499,2,Duration 10h-18h
8468,2,Duration 3h
43789,2,Duration 3h
72255,2,Duration 10h-18h
19962,2,Duration 5h
26746,2,Duration 3h
57488,2,Duration 3h
71497,2,Duration 3h
22395,2,Duration 4h
43802,2,Duration 10h-18h
61292,2,Duration 3h
59075,2,Duration 3h
39213,2,Duration 2h
71489,2,Duration 2h
69059,2,Duration 5h
40426,2,Duration 5h
43855,2,Duration 5h
68693,2,Duration 10h-18h
38464,2,Duration 3h
24821,2,Duration 5h
19312,2,Duration 10h-18h
71483,2,Duration 3h
27609,2,Duration 2h
55748,2,Duration 3h
24304,2,Duration 3h
21683,2,Duration 2h
59459,2,Duration 4h
71500,2,Duration 2h
53469,2,Duration 2h
73175,2,Duration 5h
43775,2,Duration 3h
49535,2,Duration 4h
75317,2,Duration 10h
40478,2,Duration 5h
54530,2,Duration 3h
57479,2,Duration 10h-18h
37160,2,Duration 5h
26754,2,Duration 5h
7643,2,Duration 5h
15433,2,Duration 3h
6625,2,Duration 10h-18h
24822,2,Duration 5h
31876,2,Duration 10h-18h
67859,2,Duration 3h
34695,2,Duration 5h
59443,2,Duration 5h
43892,2,Duration 5h
62871,2,Duration 2h
26747,2,Duration 3h
71473,2,Duration 2h
57476,2,Duration 4h
19979,2,Duration 5h
74089,2,Duration 10h-18h
5672,2,Duration 5h
19977,2,Duration 2h
43859,2,Duration 3h
40473,2,Duration 5h
28104,2,Duration 5h
39193,2,Duration 10h-18h
18438,2,Duration 3h
80186,2,Duration 5h
40394,2,Duration 5h
78453,2,Duration 6h
40430,2,Duration 3h
43875,2,Duration 2h
41294,2,Duration 10h-18h
24053,2,Duration 4h
19969,2,Duration 4h
24307,2,Duration 5h
27603,2,Duration 10h-18h
72230,2,Duration 5h
71487,2,Duration 4h
9953,2,Duration 2h
69645,2,Duration 5h
32829,2,Duration 2h
40758,2,Duration 3h
43828,2,Duration 8h
59462,2,Duration 2h
40490,2,Duration 5h
50559,2,Duration 3h
60525,2,Duration 8h
23544,2,Duration 10h
40485,2,Duration 6h
64808,2,Duration 3h
71494,2,Duration 2h
24718,2,Duration 4h
36817,2,Duration 4h
40384,2,Duration 3h
72237,2,Duration 7h
6619,2,Duration 5h
27616,2,Duration 4h
69550,2,Duration 5h
27608,2,Duration 4h
40444,2,Duration 5h
67856,2,Duration 3h
67868,2,Duration 5h
55745,2,Duration 3h
24483,2,Duration 8h
40404,2,Duration 3h
26789,2,Duration 3h
43786,2,Duration 10h-18h
43783,2,Duration 5h
34693,2,Duration 10h-18h
15,2,Duration 5h
18431,2,Duration 5h
57447,2,Duration 5h
26387,2,Duration 3h
78439,2,Duration 8h
57448,2,Duration 5h
42402,2,Duration 5h
15444,2,Duration 3h
43845,2,Duration 5h
19978,2,Duration 3h
15843,2,Duration 5h
45468,2,Duration 3h
78951,2,Duration 10h-18h
40395,2,Duration 5h
58082,2,Duration 5h
21002,2,Duration 10h
71477,2,Duration 3h
43770,2,Duration 5h
23777,2,Duration 2h
41669,2,Duration 2h
38305,2,Duration 5h
18433,2,Duration 6h
6637,2,Duration 10h-18h
15856,2,Duration 5h
24344,2,Duration 5h
40451,2,Duration 4h
43773,2,Duration 3h
71505,2,Duration 5h
71492,2,Duration 8h
19953,2,Duration 3h
19957,2,Duration 4h
59463,2,Duration 5h
15841,2,Duration 6h
24606,2,Duration 2h
34701,2,Duration 3h
40474,2,Duration 4h
26774,2,Duration 4h
40414,2,Duration 5h
17105,2,Duration 10h-18h
6640,2,Duration 3h
7658,2,Duration 10h
53460,2,Duration 8h
15454,2,Duration 2h
37683,2,Duration 2h
40497,2,Duration 2h
39212,2,Duration 3h
6638,2,Duration 2h
28570,2,Duration 5h
43851,2,Duration 10h-18h
40492,2,Duration 5h
39190,2,Duration 2h
31402,2,Duration 2h
26386,2,Duration 5h
78945,2,Duration 4h
40759,2,Duration 3h
75312,2,Duration 5h
57499,2,Duration 2h
39165,2,Duration 5h
56514,2,Duration 4h
38304,2,Duration 2h
6644,2,Duration 5h
25648,2,Duration 3h
78947,2,Duration 3h
43811,2,Duration 2h
23489,2,Duration 3h
75324,2,Duration 2h
7649,2,Duration 3h
41292,2,Duration 5h
43791,2,Duration 10h-18h
45485,2,Duration 8h
27618,2,Duration 2h
17616,2,Duration 6h
59084,2,Duration 5h
40476,2,Duration 5h
43777,2,Duration 2h
71480,2,Duration 2h
56147,2,Duration 3h
19952,2,Duration 3h
10812,2,Duration 6h
